"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Burkina Faso","BFA","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","6.17666959762573","6.6671085357666","7.15994262695313","7.65577077865601","8.15434646606445","6.9","9.14439868927002","9.6269359588623","10.0951881408691","11.4","10.9709606170654","11.3722171783447","11.7573652267456","12.1379890441895","12.525671005249","12.9319982528687","13.1","15.0398483276367","15.4381132125854","15.5959062576294","19.2","16.3046741485596","16.8605937957764","17.5064811706543","14.4","","",
"Bangladesh","BGD","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.29","11.9665746688843","14.539306640625","17.8","19.6889629364014","22.2670841217041","22.4","27.4320621490479","30.0150470733643","32","35.1605110168457","37.7140502929688","40.248836517334","40.6","44.23","50.5251024590164","46.5","52.6562576293945","55.1478729248047","55.26","59.6","62.8470039367676","61.5","62.4","73.1279678344727","75.92","88","85.1604232788086","","",
"Bulgaria","BGR","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bahrain","BHR","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bahamas, The","BHS","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bosnia and Herzegovina","BIH","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.4","98.5","100","100","100","99.3872769868445","99.7","100","100","100","99.705780546902","100","99.5","100","99.7","100","100","100","","",
"Belarus","BLR","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Belize","BLZ","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67","70.3068161010742","71.4197998046875","72.5339813232422","73.6499557495117","74.7683334350586","75.8896942138672","77.0138092041016","78.1370468139648","79","80.3630065917969","81.4568023681641","82.5318374633789","83.5836486816406","84.6104431152344","90.9885308574549","86.6272888183594","87.6405029296875","88.6723709106445","89.9172243747798","91.6817359855335","91.9922561645508","93.1906356811523","94.4246139526367","91.8","96.9637756347656","98.2511520385742","99.5400161743164","","",
"Bermuda","BMU","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bolivia","BOL","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.8465957641602","61.209789276123","64.1","63.9403762817383","71","67.330431","71.2","70.929888","69.963045","69.258539","63.996855","72.3","76.1259994506836","68.288209","76.211281","80.156567","84.674991","86.765597","88.0331954956055","88.335943","90.387375","89.505686","90.038729","91.522822","91.8","91.8","95.5853652954102","","",
"Brazil","BRA","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.475116","90.1042251586914","88.803833","89.999927","91.5264511108398","91.728598","92.867095","93.354139","94.193812","94.76296","94.4127731323242","96.016528","96.652996","96.980098","96.765107","97.093513","97.594314","98.125382","98.526625","98.856938","98.9767379760742","99.328691","99.519494","99.575151","99.650247","99.710902","99.7","100","100","","",
"Barbados","BRB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.9986267089844","99.9868240356445","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Brunei Darussalam","BRN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bhutan","BTN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.15","40.1987228393555","44.145637512207","41.1","51.9787292480469","59.8081116441343","59.7224540710449","71.8","67.4480819702148","71.3330688476563","73.2829108748978","81.8008422851563","91.5","87.3388442993164","91.3509216308594","95.464729309082","99.5963287353516","97.7","100","","",
"Botswana","BWA","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1","10.6452713012695","12.7187643051147","14.7934541702271","16.8699398040771","18.9488220214844","21.0306968688965","23.1153202056885","25.1990661621094","27.2774658203125","24.8","31.4003505706787","33.4358940124512","35.4482154846191","37.4355201721191","39.4067153930664","41.3733863830566","43.1","45.3394889831543","52.6843681335449","53.24","53.3805885314941","53.6997947692871","55.894287109375","58.1154747009277","60.3544654846191","62.602352142334","64.8517227172852","","",
"Central African Republic","CAF","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3.08757996559143","3.69022059440613","4.29560899734497","4.90012073516846","6","6.08863592147827","6.66370105743408","7.22001171112061","7.753098487854","8.26116847991943","7.80516932525804","9.24056434631348","9.73505973815918","10.2481985092163","9.8","13.1532945632935","15.9743528366089","18.5549392700195","21.1823444366455","24.1092948913574","27.0880069732666","29.8344898223877","32.4203987121582","","",
"Canada","CAN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Central Europe and the Baltics","CEB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.8278347045649","100","100","","",
"Switzerland","CHE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Channel Islands","CHI","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.257427","94.7213973999023","94.560057","95.203498840332","95.446044921875","95.6903839111328","95.617315","96.1868515014648","97.241124","96.6909332275391","97.938687","97.1736297607422","97.3957824707031","98.782325","97.7793655395508","97.9345245361328","99.368108","98.2080993652344","98.3496856689453","99.593662","99.3830032348633","99.588193","100","99.6","100","99.714844","100","100","100","","",
"China","CHN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.9071044921875","97.2181396484375","97.5149002075195","97.7929000854492","98.0476760864258","98.2774353027344","98.491081237793","98.7002105712891","98.9163970947266","99.1512222290039","99.7","99.874382019043","99.9748764038086","100","100","100","100","100","100","","",
"Cote d'Ivoire","CIV","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.6594924926758","37.787281036377","38.9146156311035","40.039249420166","36.5","42.2695693969727","43.3698501586914","44.456600189209","45.5271148681641","48.2","47.6174240112305","48.6439170837402","51.4","50.6790618896484","51.6955146789551","58.9","53.745677947998","54.7862396240234","55.8373031616211","56.8971138000488","57.9639282226563","59.0359878540039","55.8","61.1888618469238","61.9","62.6","64.3","65.6","66.9911804199219","","",
"Cameroon","CMR","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","32.676155090332","33.8180122375488","34.9610633850098","36.1059150695801","37.2531623840332","38.4034004211426","40.7","40.70849609375","41","46.2","44.114875793457","45.2187843322754","47.1","47.3551368713379","49","48.2","50.4718246459961","51.5325622558594","53.2583656311035","53.7","54.9463424682617","56.1663246154785","56.8","58.7187347412109","60.0260848999023","61.3423347473145","62.6600723266602","","",
"Congo, Dem. Rep.","COD","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.7","7.26241636276245","7.91727924346924","8.55338764190674","9.16627216339111","6","10.3258981704712","15.2","11.4674243927002","12.0603618621826","12.6835260391235","13.348503112793","15.4","14.8229188919067","13.5","16.4397258758545","17.4034118652344","18.2261638641357","18.9776611328125","","",
"Congo, Rep.","COG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.8859786987305","35.9772300720215","38.0755386352539","37.1","42.3396759033203","44.5286712646484","41.6","49.0511207580566","52.3896827697754","60.4","60.7406959533691","64.7098541259766","68.5184326171875","","",
"Colombia","COL","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.9","90.9841995239258","91.3042373657227","91.6248779296875","91.9467086791992","91.2","92.5963668823242","92.9253845214844","93.2571563720703","93.5880432128906","95.2","94.2293167114258","94.53076171875","94.8134536743164","95.0729217529297","96.8","95.5257034301758","95.7395248413086","96.806763","96.057229","96.788995","96.6936","97.032176","97.779418","97.790938","98.186898","98.4","98.5","99.9364471435547","","",
"Comoros","COM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.2086524963379","53.4335327148438","55.6538887023926","57.8813018798828","60.1273612976074","70.1040878295898","69.6052703857422","69.3","69.5024032592773","71.9505767822266","74.4254531860352","76.9181213378906","79.4196929931641","81.9227523803711","","",
"Cabo Verde","CPV","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.6","63.3492012023926","65.2829208374023","67","69.0842132568359","70.972282409668","72.8674163818359","74.7811889648438","81.1","79.3685836791992","80.7467956542969","82.8270874023438","84.9429702758789","87.085563659668","89.2459487915039","91.4152297973633","93.5859985351563","","",
"Costa Rica","CRI","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.1022186279297","98.1937484741211","98.2876663208008","98.3845825195313","98.484245300293","98.5830307006836","98.6764755249023","98.24978","98.509188","98.695902","98.954779","99.053051","99.147523","99.217998","99.263937","99.409804","98.995734","99.232348","99.503298","99.563517","99.359291","99.409804","99.5","99.6","100","","",
"Caribbean small states","CSS","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.7291217513539","83.6421493011375","84.3469920947729","83.1538380375876","83.4182304995352","84.0134689784283","86.725463163936","85.2152950535543","85.6764800542823","87.7340235797175","86.5841476960194","89.2990387359856","89.1369153088505","89.334445274074","89.846481100222","90.3608619623872","90.7892063380096","91.7791838727945","92.9375058048506","92.2261900316799","93.3306069484818","93.3388637606821","94.4314522417471","94.9767696959731","94.9603432751389","95.7441486304802","97.1016754869755","97.7674178119389","98.4016022669347","","",
"Cuba","CUB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.4576797485352","93.7051239013672","93.9526672363281","94.200813293457","94.4501495361328","94.701286315918","94.9548187255859","95.2113418579102","95.4706192016602","95.7290115356445","97","96.2253036499023","95.5","96.6644439697266","96.8514175415039","97.0133743286133","97.1592178344727","97.300537109375","97.4489135742188","97.6159439086914","97.8131942749023","98.0522537231445","98.3413009643555","98.6748504638672","99.0439910888672","99.439826965332","99.8534622192383","99.928352355957","100","","",
"Curacao","CUW","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Cayman Islands","CYM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9155502319336","99.9308471679688","99.9463958740234","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Cyprus","CYP","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Czech Republic","CZE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Germany","DEU","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Djibouti","DJI","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","56.3123588562012","56.34375","56.3742637634277","56.3994293212891","56.4147834777832","49.7","56.3981628417969","56.357250213623","56.2913208007813","55.5","56.1227226257324","56.0432205200195","55.9823608398438","55.9517288208008","55.9629096984863","54.6","56.1297340393066","56.4197654724121","57.531120300293","58.6942405700684","60.2","60.3954467773438","","",
"Dominica","DMA","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","79.6214141845703","80.992317199707","82.3534088134766","87.7","85.0282669067383","86.3330917358398","87.6128997802734","88.8766021728516","90.1357803344727","90.9","92.686897277832","94.0019989013672","95.3589248657227","96.7658233642578","98.2172241210938","99.704216003418","99.8146362304688","99.9815139770508","100","100","","",
"Denmark","DNK","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Dominican Republic","DOM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.2","82.0788650512695","82.8731307983398","83.6685943603516","84.4658584594727","85.265510559082","86.0681610107422","86.8735580444336","91","88.764932","89.791362","89.749814","89.173808","90.316567","90.141224","90.118148","96.876342","97.576197","97.85776","98.145414","97.898872","97.86705","98.385853","98.470979","98.560364","98.9","100","100","","",
"Algeria","DZA","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7472686767578","98.8776245117188","99.0497894287109","98.7646604654583","99.5385818481445","99.8408203125","99.9313659667969","99.9900512695313","100","100","","",
"East Asia & Pacific (excluding high income)","EAP","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.4909967786032","93.024585494952","92.3079802068591","92.5423369537822","93.499294263249","93.1783218011542","94.2534888717661","94.2926949050365","94.7415225018369","94.5638842282209","95.0879735605267","95.7112301909444","96.0433655939683","96.2217199551869","96.3790993183485","96.8171354715771","96.9662395813656","97.6266800146537","97.7707941758023","","",
"Early-demographic dividend","EAR","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.0122822919006","55.0873001273729","57.0401675549691","58.8844982048508","61.0370740364243","62.7436257943501","65.7126577396736","65.3062561473014","64.811096888487","68.183485467767","69.3168830761615","70.1066122375161","70.899477012403","72.6493500451663","75.3581965321713","75.280721522794","77.2226883738085","78.6599020198539","75.2482057107085","81.3800183110768","81.8950315049895","82.9703570755935","85.7464262347638","87.2751264812585","89.6168259263493","90.7246521624272","","",
"East Asia & Pacific","EAS","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.3034228938227","93.7764744353614","93.11459474421","93.3212729262126","94.1753462259794","93.8845437726391","94.8465999950046","94.8800121953428","95.2818966781933","95.1076769499217","95.5778609987419","96.1373859352627","96.4351017829305","96.5943081343885","96.7348736345443","97.1287488927404","97.2621205109475","97.8571233091855","97.9864336581834","","",
"Europe & Central Asia (excluding high income)","ECA","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8331484852008","99.8676746994315","99.8329493750413","99.8322282132383","99.8523328151004","99.8314307041792","99.8593200912685","99.9051932831584","99.8937902680469","99.9145079571956","99.9437321533261","99.9524168795356","99.9608219220685","98.2877337177718","99.9822107962946","99.9833681776927","99.9839707519244","","",
"Europe & Central Asia","ECS","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","99.9976239659933","99.9549608170141","99.9473093858565","99.9525637628698","99.8585842441783","99.9331756192942","99.9378446948886","99.9441936048585","99.9558852935525","99.9444756744467","99.9376715739477","99.9450585629029","99.9374217403367","99.9478468774466","99.9648519613146","99.954997726582","99.9636423794535","99.9759149949187","99.9795926281087","99.9831666078807","99.2628139698716","99.9728561915189","99.9928102936989","99.9930584895805","","",
"Ecuador","ECU","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.830167","91.9264602661133","92.3253021240234","92.726642","93.071434","93.5229873657227","93.9085388183594","94.2798080444336","94.973044","94.9616165161133","95.83265","96.315259","96.812618","97.206576","96.470862","97.462142","96.872699","97.194929","98.034674","98.976067","98.825883","98.7","99.2","100","","",
"Egypt, Arab Rep.","EGY","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.4","95.42431640625","95.6652984619141","95.5","96.1532516479492","96.4014205932617","96.6523361206055","96.9023742675781","97.7","97.3819427490234","97.6025390625","98.8","97.9829864501953","99.4","99.04","98.4070358276367","99.8","98.7057266235352","99.1528930664063","99.4522476196289","99.7","99.731201171875","99.8","99.3","100","100","100","","",
"Euro area","EMU","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Eritrea","ERI","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9","24.7169399261475","25.8440742492676","26.9739570617676","28.1029624938965","29.2266216278076","30.3404655456543","32.2","32.5208282470703","33.5784111022949","34.6109733581543","35.6274261474609","36.6393585205078","37.6583442687988","38.6959800720215","39.7638397216797","40.8735122680664","42.0331687927246","43.2373199462891","44.4770736694336","45.7435188293457","47.0277671813965","48.320915222168","49.6155433654785","","",
"Spain","ESP","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Estonia","EST","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Ethiopia","ETH","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7","25.5699501037598","26.467643737793","27.3465824127197","28.2022972106934","14","29.8475818634033","79.9308806503791","31.4747695922852","32.3105354309082","33.1765327453613","23","35.0421295166016","36.0444145202637","27.2","29","42.9","44.3","44.9799575805664","","",
"European Union","EUU","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.9601963439496","100","100","","",
